Level,Year,#Module,Topic / Activity Focus,Desc.,Teaching strategy,Hours,Theory,Group Therapy/supervision,Breathwork,Seminar,Delivery Format,EAP/EUROTAS Category,Core Teacher,Guest Teacher,Compulsory
L2,Year 2,8,"Professional Ethics, Boundaries & Continuing Development","Deepening ethical practice for professional transpersonal work. Maintaining clear professional boundaries while facilitating deep consciousness work. Learning when and how to seek supervision and consultation. Establishing Ethical, sustainable professional practices with emphasis on the concept of consent and bodywork.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 2/3,4-9,Deepening Personal Process & Shadow Work,,,180,,,,,6 Residentials (Thurs-Sun),Theoretical / Experiential,TBD,TBD,TRUE
L2,Year 2/3,4-9,Deepening Personal Process & Shadow Work,,,20,,,,,1:1 Sessions,Personal Psychotherapy,External,-,TRUE
L2,Year 2/3,4-9,Peer Group Meetings & Early Case Discussions and homeworks,,,40,,,,,Bi-Weekly Online (2 hrs),Theoretical Study,-,-,TRUE
L2,Year 2/3,4-9,Transpersonal Counselling Practice (with models/L1 students),,,20,,,,,1:1 Sessions w/ Clients,Practical Training,-,-,TRUE
L2,Year 2/3,4-9,Clinical Supervision for Counselling Practice,,,20,,,,,1:1 or Group Sessions,Supervision,TBD,TBD,TRUE
L2,Year 3,9,"Somatic Awareness, Trauma-Informed Practice & Integration","Nervous system regulation, trauma-aware facilitation, grounding and stabilization skills, working with dissociation and overwhelm, and integration practices that support psychological safety and continuity of change.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 3,,Final L2 Examination?,,,5,,,,,Examination,EWTT Requirement,TBD,TBD,TRUE
L3,Year 3,10,Advanced Psychotherapeutic Skills & Clinical Process,"Advanced therapeutic skills: deep listening, moment-to-moment process tracking, rupture and repair, transference/countertransference, pacing depth, working with resistance, and maintaining therapeutic alliance in complex clinical work.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3,11,Transpersonal Interventions & Tools in Psychotherapy,"Clinical use of transpersonal tools: imaginal work, symbolic dialogue, archetypal processes, ritual elements, therapeutic use of spiritual frameworks, dreamwork, and meaning-oriented interventions. Indications, contraindications, and ethical application in psychotherapy.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3,12,Trauma-Informed Transpersonal Psychotherapy,"Advanced work with developmental trauma, attachment injury, dissociation, and shame-based organization. Integrating somatic regulation, parts-based models, and consciousness-oriented interventions within phase-oriented trauma treatment.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 4,13,"Clinical Assessment, Differential Diagnosis & Treatment Planning","Advanced assessment integrating diagnosis manuals - informed diagnosis with transpersonal perspectives. Differential diagnosis between spiritual emergence, trauma responses, dissociation, and psychiatric pathology. Phase-oriented treatment planning, risk management, and collaboration with mental health professionals",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 4,14,"Consciousness-Based Psychotherapy & Holotropic Breathwork (Advanced Integration)
","Clinical integration of Holotropic Breathwork and non-ordinary state work within longer-term psychotherapy. Indications, contraindications, clinical timing, integration planning, working with grief, existential crisis, identity transformation, and sustaining therapeutic outcomes beyond peak experiences.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3/4,10-14,"Hypnotherapy, Trauma Integration & Systemic Work",,,180,,,,,6 Residentials (Thurs-Sun),Theoretical / Experiential,TBD,TBD,TRUE
L3,Year 3/4,10-14,Peer Group Meetings & Advanced Clinical Presentations,,,40,,,,,Bi-Weekly Online (2 hrs),Theoretical Study,-,-,TRUE
L3,Year 3/4,10-14,Advanced Clinical Supervision,,,30,,,,,1:1 or Group Sessions,Supervision,TBD,TBD,TRUE
L3,Year 4,10-14,Final Integration & Identity Transformation,,,20,,,,,1:1 Sessions,Personal Psychotherapy,External,-,TRUE
L3,Year 4,10-14,Advanced Psychotherapy Practice,,,30,,,,,1:1 Sessions w/ Clients,Practical Training,-,-,TRUE
L3,Year 4,15,Placement in a Mental Health Setting (External Internship),,,580,,,,,Clinical Environment,Placement / Internship,External Clinic,-,TRUE
,,,,,,1680,,,,,,,,,
